round_index,mean_revenue,mean_payout,mean_burn,mean_treasury_cost,mean_carry,mean_margin_ex_burn,scenario
74,23196.12339240298,21537.462568839455,4639.224678480597,0.0,73183.41363048625,23196.12339240298,bonus_tickets_light
75,23216.844398911875,22696.160923611253,6243.368879782375,8000.0,75460.72822600449,15216.844398911873,bonus_tickets_light
76,23211.25375419526,21668.803158968836,4642.250750839052,0.0,72360.92807039186,23211.25375419526,bonus_tickets_light
77,23205.14192184696,22370.458611949467,6241.028384369392,8000.0,74954.58299591996,15205.14192184696,bonus_tickets_light
78,23208.053316405207,22749.215585084046,6241.6106632810415,8000.0,77171.81006396007,15208.053316405205,bonus_tickets_light
79,23189.379415203675,21718.923097972347,4637.875883040735,0.0,74004.39049815066,23189.379415203675,bonus_tickets_light
80,23209.784718252802,22773.443573539993,6241.956943650561,8000.0,76198.77469921291,15209.784718252802,bonus_tickets_light
81,23214.041866228956,21724.810059829713,4642.808373245792,0.0,73045.19813236636,23214.041866228956,bonus_tickets_light
82,23208.1317626601,22419.548966582697,6241.626352532021,8000.0,75592.15457591174,15208.131762660101,bonus_tickets_light
83,23209.629716730487,21401.626012419394,4641.925943346098,0.0,72758.23233687674,23209.629716730487,bonus_tickets_light
84,23220.23422947372,22722.602886543733,6244.046845894744,8000.0,75011.81683391199,15220.234229473721,bonus_tickets_light
85,23211.37468423842,22781.910010028925,6242.274936847685,8000.0,77199.0065712738,15211.37468423842,bonus_tickets_light
86,23195.507034724873,21917.272117912147,4639.101406944975,0.0,73838.14008114155,23195.507034724873,bonus_tickets_light
87,23196.143666918455,22840.738449795375,6239.228733383692,8000.0,75954.31656488094,15196.143666918457,bonus_tickets_light
88,23214.573224981832,21805.87171028679,4642.914644996367,0.0,72720.1034345796,23214.573224981832,bonus_tickets_light
89,23202.91503386806,22254.99820702931,6240.583006773612,8000.0,75427.43725464476,15202.91503386806,bonus_tickets_light
90,23211.33676757503,21328.236144024006,4642.267353515006,0.0,72668.27052468076,23211.33676757503,bonus_tickets_light
91,23200.118644111088,22919.57694040885,6240.023728822218,8000.0,74708.78849956079,15200.11864411109,bonus_tickets_light
92,23208.5182252677,22546.67761617666,6241.703645053541,8000.0,77128.9254635983,15208.5182252677,bonus_tickets_light
93,23207.39744135711,21689.48351697787,4641.479488271421,0.0,74005.3598997061,23207.39744135711,bonus_tickets_light
94,23195.34678731314,22749.867058174146,6239.069357462628,8000.0,76211.77027138248,15195.346787313141,bonus_tickets_light
95,23200.396019332773,21671.2458177947,4640.079203866554,0.0,73100.841269054,23200.396019332773,bonus_tickets_light
96,23204.850788333668,22489.679599699582,6240.970157666735,8000.0,75575.04230002135,15204.85078833367,bonus_tickets_light
97,23209.56832363742,21502.743523184254,4641.9136647274845,0.0,72639.95343574703,23209.56832363742,bonus_tickets_light
98,23207.084514690556,22397.553205216405,6241.416902938112,8000.0,75208.06784228307,15207.084514690556,bonus_tickets_light
99,23200.860661537587,23009.645864454087,6240.172132307518,8000.0,77159.11050705906,15200.860661537588,bonus_tickets_light
100,23204.496551898144,21564.623507487107,4640.899310379629,0.0,74158.08424109046,23204.496551898144,bonus_tickets_light
101,23220.12875375758,22689.64822058529,6244.025750751517,8000.0,76444.53902351124,15220.128753757579,bonus_tickets_light
102,23214.080156648462,21784.04700933457,4642.816031329692,0.0,73231.75613949544,23214.080156648462,bonus_tickets_light
103,23204.110795749562,22699.879907648578,6240.822159149913,8000.0,75495.16486844652,15204.110795749566,bonus_tickets_light
104,23217.844920984684,21799.254006625673,4643.568984196938,0.0,72270.18679860859,23217.844920984684,bonus_tickets_light
1,23535.607004840036,5697.567925472136,6307.121400968007,9176.780350242001,19530.917678399892,14358.826654598033,cashback_5pct
